"ct_code","cluster2"
55025000408,4
55025000405,4
55025000902,3
55025001102,7
55025001606,7
55025001705,3
55025001804,2
55025013301,5
55025000407,4
55025000901,3
55025001101,7
55025001605,3
55025001704,3
55025010903,4
55025011401,2
55025001802,2
55025000406,4
55025012501,1
55025013700,4
55025001604,7
55025010502,2
55025011402,5
55025012502,1
55025010904,4
55025013302,5
55025001603,7
55025000503,4
55025000504,4
55025000600,4
55025000700,3
55025000800,3
55025001000,3
55025002401,2
55025002402,2
55025002500,2
55025002601,2
55025002602,2
55025002603,2
55025002700,2
55025002800,2
55025002900,2
55025003001,2
55025003100,2
55025003200,3
55025010100,3
55025010501,2
55025001200,3
55025010200,2
55025010300,2
55025010400,2
55025010701,4
55025011000,4
55025000501,4
55025001300,3
55025011101,4
55025011302,6
55025011503,5
55025011504,5
55025011505,5
55025001401,3
55025001501,2
55025011506,5
55025001900,2
55025002000,2
55025002100,2
55025002200,2
55025000204,4
55025012201,1
55025012202,1
55025011301,6
55025012300,1
55025013000,4
55025001403,3
55025011700,5
55025010901,4
55025011600,5
55025012800,4
55025002302,2
55025012001,2
55025012100,1
55025010800,4
55025013100,4
55025000205,4
55025013200,5
55025011102,4
55025012900,4
55025010600,2
55025000201,4
55025012002,2
55025010702,4
55025001502,2
55025011900,2
55025012700,4
55025012600,4
55025011800,5
55025001402,3
55025000202,4
55025011200,6
55025012400,1
55025000100,3
55025003002,2
55025002301,2
55025000300,3
55025000401,3
55025000402,4
