ct,census_block_group,b01001e3,b01001e4,b01001e5,b01001e6,b01001e7,b01001e8,b01001e9,b01001e10,b01001e11,b01001e12,b01001e13,b01001e14,b01001e15,b01001e16,b01001e17,b01001e18,b01001e19,b01001e20,b01001e21,b01001e22,b01001e23,b01001e24,b01001e25,b01001e27,b01001e28,b01001e29,b01001e30,b01001e31,b01001e32,b01001e33,b01001e34,b01001e35,b01001e36,b01001e37,b01001e38,b01001e39,b01001e40,b01001e41,b01001e42,b01001e43,b01001e44,b01001e45,b01001e46,b01001e47,b01001e48,b01001e49
55025000100,1100500002003,105,100,49,22,39,0,0,62,98,160,36,74,163,50,51,32,73,27,19,51,18,17,17,49,39,18,19,37,0,0,77,165,115,80,119,105,37,67,61,68,17,32,84,34,17,10
55025000201,1100500004023,39,52,59,25,0,26,3,17,68,113,58,40,64,111,35,51,35,31,55,41,8,15,26,91,26,13,29,13,0,9,66,114,86,61,76,84,140,25,20,81,16,48,70,58,37,18
55025000202,1100500004043,92,22,72,52,0,0,27,61,246,99,81,62,76,118,93,13,59,23,67,77,63,27,76,102,52,65,50,18,12,8,100,132,146,92,53,115,121,109,99,34,44,96,99,64,41,46
55025000204,1650750006126,191,198,180,174,16,0,31,77,291,258,266,170,85,166,85,103,86,80,100,53,17,34,37,271,207,38,77,45,0,22,141,430,294,73,106,147,157,147,71,91,51,86,135,114,51,68
55025000205,1650750006156,94,107,97,135,7,0,8,90,109,147,77,66,109,202,152,151,40,77,115,168,88,22,64,80,148,116,66,28,0,84,120,307,119,104,108,118,261,284,32,148,65,102,290,145,47,164
55025000300,2201000012010,132,232,98,0,10,14,29,207,468,436,156,83,191,136,58,96,49,19,56,136,21,31,117,80,32,69,106,8,0,21,229,344,291,123,133,176,71,206,102,118,113,50,82,0,88,175
55025000401,1100500008023,67,118,66,104,27,8,20,31,124,98,97,163,121,105,176,29,62,47,62,47,19,9,34,67,131,140,75,17,0,7,32,160,127,177,52,139,166,127,18,81,18,48,68,68,34,63
55025000402,1100500008043,74,64,51,67,19,0,0,34,108,110,92,129,47,76,103,31,60,27,40,49,29,10,30,69,90,48,57,0,0,1,50,44,85,77,69,70,156,92,39,12,44,56,64,42,17,36
55025000405,2201000016210,96,205,203,57,0,0,20,551,657,246,272,117,100,256,90,42,40,26,32,71,52,0,22,341,231,82,122,52,60,32,348,643,295,139,160,220,199,124,32,155,43,40,37,34,0,17
55025000406,550250004061,49,47,45,28,0,0,0,153,240,177,179,55,69,32,59,15,18,9,0,19,88,10,84,98,53,45,43,10,9,17,176,276,209,160,60,87,76,16,0,30,0,47,35,58,53,183
55025000407,2201000016290,85,310,208,98,89,46,67,110,225,137,134,187,233,57,175,111,88,73,15,149,61,45,0,258,177,154,69,75,79,88,140,169,117,175,216,137,252,176,102,84,103,66,128,69,44,0
55025000408,1100500008163,51,0,0,0,0,0,16,35,63,146,28,28,40,32,35,0,35,27,40,9,55,39,74,16,0,0,0,0,9,0,8,94,52,0,0,19,29,0,0,31,28,71,65,91,124,339
55025000501,2201000020050,161,113,88,59,44,0,0,0,181,123,162,165,59,195,123,24,158,42,116,162,0,28,14,125,143,171,84,16,8,0,76,143,239,143,147,231,124,145,82,84,94,80,149,37,27,36
55025000503,2751250025165,292,307,244,46,49,105,52,230,605,486,134,216,243,186,198,75,99,0,130,117,0,0,35,312,228,263,197,70,0,0,274,394,345,158,179,204,255,141,143,85,99,103,50,66,20,2
55025000504,2201000020170,201,151,345,47,71,16,37,245,543,419,302,511,131,121,64,15,212,62,54,31,50,2,12,233,313,173,91,0,68,32,201,394,312,209,506,213,97,114,50,217,81,62,76,19,19,1
