ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55025000100,55,025,000100,WI,Dane County,2.06524664381
55025000201,55,025,000201,WI,Dane County,1.86850953983
55025000202,55,025,000202,WI,Dane County,2.39749963888
55025000204,55,025,000204,WI,Dane County,2.67909779494
55025000205,55,025,000205,WI,Dane County,4.11209609994
55025000300,55,025,000300,WI,Dane County,2.35614287559
55025000401,55,025,000401,WI,Dane County,1.81606521713
55025000402,55,025,000402,WI,Dane County,2.87843616869
55025000405,55,025,000405,WI,Dane County,4.35898282953
55025000406,55,025,000406,WI,Dane County,3.20462045415
55025000407,55,025,000407,WI,Dane County,2.76765831651
55025000408,55,025,000408,WI,Dane County,3.93720656137
55025000501,55,025,000501,WI,Dane County,3.35557127439
55025000503,55,025,000503,WI,Dane County,3.37914521785
55025000504,55,025,000504,WI,Dane County,4.96894252982
55025000600,55,025,000600,WI,Dane County,3.27173427952
55025000700,55,025,000700,WI,Dane County,2.29826574885
55025000800,55,025,000800,WI,Dane County,1.91048145980
55025000901,55,025,000901,WI,Dane County,0.64515257797
55025000902,55,025,000902,WI,Dane County,1.34877641694
55025001000,55,025,001000,WI,Dane County,1.57161806524
55025001101,55,025,001101,WI,Dane County,0.66873042789
55025001102,55,025,001102,WI,Dane County,1.07273670992
55025001200,55,025,001200,WI,Dane County,1.86305535313
55025001300,55,025,001300,WI,Dane County,1.47898147393
55025001401,55,025,001401,WI,Dane County,4.17663807034
55025001402,55,025,001402,WI,Dane County,9.70510649775
55025001403,55,025,001403,WI,Dane County,11.18051248060
55025001501,55,025,001501,WI,Dane County,1.09789549980
55025001502,55,025,001502,WI,Dane County,10.79882897120
55025001603,55,025,001603,WI,Dane County,0.17574628598
55025001604,55,025,001604,WI,Dane County,0.27415367783
55025001605,55,025,001605,WI,Dane County,0.35350120201
55025001606,55,025,001606,WI,Dane County,0.42168371613
55025001704,55,025,001704,WI,Dane County,0.42210855620
55025001705,55,025,001705,WI,Dane County,0.69647817655
55025001802,55,025,001802,WI,Dane County,0.76036290893
55025001804,55,025,001804,WI,Dane County,0.83412042044
55025001900,55,025,001900,WI,Dane County,2.15949366185
55025002000,55,025,002000,WI,Dane County,2.63499344265
55025002100,55,025,002100,WI,Dane County,3.12073760013
55025002200,55,025,002200,WI,Dane County,1.88291185373
55025002301,55,025,002301,WI,Dane County,2.46003097583
55025002302,55,025,002302,WI,Dane County,3.25863354734
55025002401,55,025,002401,WI,Dane County,1.85804051864
55025002402,55,025,002402,WI,Dane County,2.22189934080
55025002500,55,025,002500,WI,Dane County,11.12562358700
55025002601,55,025,002601,WI,Dane County,1.54941240074
55025002602,55,025,002602,WI,Dane County,6.01895032291
55025002603,55,025,002603,WI,Dane County,6.34392593679
55025002700,55,025,002700,WI,Dane County,3.17536969884
55025002800,55,025,002800,WI,Dane County,1.79793107622
55025002900,55,025,002900,WI,Dane County,3.36127328324
55025003001,55,025,003001,WI,Dane County,3.77068863016
55025003002,55,025,003002,WI,Dane County,1.90670338760
55025003100,55,025,003100,WI,Dane County,10.29692370810
55025003200,55,025,003200,WI,Dane County,2.42500886257
55025010100,55,025,010100,WI,Dane County,1.93065347644
55025010200,55,025,010200,WI,Dane County,1.81161987490
55025010300,55,025,010300,WI,Dane County,2.26903264744
55025010400,55,025,010400,WI,Dane County,2.13578469914
55025010501,55,025,010501,WI,Dane County,8.96078351827
55025010502,55,025,010502,WI,Dane County,18.29910319840
55025010600,55,025,010600,WI,Dane County,87.65494341830
55025010701,55,025,010701,WI,Dane County,10.24213781810
