"ct_code","cluster2"
55079070100,1
55079011400,1
55079186900,1
55079150304,2
55079006500,3
55079004300,3
55079080400,1
55079070200,1
55079160203,6
55079007400,1
55079020200,4
55079101800,2
55079001100,3
55079000400,3
55079001000,3
55079060200,1
55079001600,3
55079003300,3
55079019200,2
55079016300,4
55079187400,1
55079003100,3
55079005900,3
55079004900,3
55079100900,2
55079020100,4
55079016500,4
55079016900,4
55079080100,1
55079019400,2
55079010800,1
55079004800,3
55079120202,2
55079160300,6
55079001700,3
55079008800,3
55079015800,4
55079020500,4
55079002900,3
55079005200,3
55079004000,3
55079017300,4
55079003600,3
55079000102,3
55079001900,3
55079091200,5
55079012200,3
55079003500,3
55079008700,3
55079018600,4
55079100500,2
55079130100,2
55079000101,3
55079100100,2
55079005000,3
55079020900,4
55079002400,3
55079090900,5
55079185400,3
55079012400,5
55079060101,1
55079007500,1
55079016200,4
55079090800,5
55079004400,1
55079002300,3
55079006600,3
55079000303,3
55079005300,5
55079100400,2
55079015700,4
55079000501,3
55079060102,1
55079016000,4
55079018100,4
55079000302,3
55079003900,3
55079016700,4
55079003200,3
55079006300,3
55079091300,5
55079004700,3
55079100200,5
55079009600,3
55079005700,5
55079014100,3
55079020600,4
55079090100,5
55079000202,3
55079021400,4
55079185500,3
55079011200,1
55079014800,1
55079120203,2
55079004500,3
55079007200,1
55079003800,3
55079000304,3
55079130200,2
55079101600,2
55079091100,5
55079185200,6
55079006100,3
55079090200,5
55079050101,3
55079006900,1
55079185700,3
55079006400,3
55079120101,2
55079008500,3
55079014400,1
55079035100,1
55079005600,5
55079020400,4
55079187000,1
55079008400,3
55079004600,3
55079000700,3
55079186300,1
55079000201,3
55079020800,4
55079170200,6
55079185300,5
55079000800,3
55079160204,6
55079008600,3
55079006000,3
55079180300,6
55079015900,4
55079009900,3
55079080300,1
55079005500,5
55079009400,5
55079001200,3
55079004100,3
55079003700,3
55079014300,1
55079004200,3
55079017500,4
55079007800,1
55079006200,3
55079012700,5
55079091000,5
55079001800,3
55079017200,4
55079120300,2
55079090700,5
55079101400,2
55079019100,2
55079101000,2
55079000502,3
55079160202,6
55079017600,4
55079185100,6
55079016400,4
55079170700,6
55079007000,3
55079003000,3
55079000301,5
55079001300,3
55079000600,3
55079090600,5
55079007100,1
55079005400,5
55079021800,4
55079017900,4
55079016800,4
55079100800,2
55079120502,2
55079120400,2
55079006800,3
55079186800,1
55079017400,4
55079001500,3
55079013600,3
55079185600,3
55079186000,3
55079180200,6
55079140201,2
55079035200,1
55079140202,2
55079007700,1
55079017100,4
55079009700,3
55079186400,1
55079009300,5
55079001400,3
55079010600,1
55079017000,4
55079150100,2
55079101700,2
55079000900,3
55079016600,4
55079019000,2
55079002500,3
55079100300,5
55079170400,6
55079070300,1
55079007600,1
55079018800,4
55079170500,6
55079110100,4
55079021600,4
55079021500,4
55079180500,6
55079005100,3
55079120201,2
55079185900,3
55079013700,3
55079009800,3
55079012300,3
55079101100,2
55079020300,4
55079002000,3
55079019800,2
55079002600,3
55079021100,4
55079186100,3
55079005800,5
55079021200,4
55079009000,3
55079120102,2
55079013000,5
55079012600,5
55079150303,2
55079170100,6
55079030100,1
55079008000,1
55079018700,4
55079186200,3
55079150301,2
55079009100,3
55079040100,1
55079002100,3
55079018000,4
55079020000,4
55079003400,3
55079050102,3
55079187300,2
55079019500,2
55079185800,3
55079090300,5
55079018900,2
55079014700,1
55079101200,2
55079009200,3
55079101500,2
55079002800,3
55079019600,2
55079013300,3
55079019700,2
55079013400,3
55079160100,6
55079018500,4
55079002700,3
55079018200,4
55079008900,3
55079021000,4
55079140100,2
55079006700,3
55079008100,1
55079101300,2
55079186600,4
55079012800,5
55079021700,4
55079013500,3
55079007900,1
55079016100,4
55079187200,2
55079011100,1
55079120501,2
55079170600,6
55079019900,2
55079021300,4
55079180100,6
55079014600,1
55079019300,2
55079170300,6
55079018300,4
55079186500,1
55079014900,3
55079002200,1
55079011300,1
55079012900,5
55079011000,1
55079080200,1
55079180400,6
55079010700,1
55079009500,5
55079018400,4
55079100700,2
55079100600,2
55079020700,4
55079091400,5
55079012500,5
55079007300,1
