ct_code,pop,white,black,native,asia,hawaii,other,hispanic,white_ratio,black_ratio,native_ratio,asia_ratio,hawaii_ratio,other_ratio,hispanic_ratio
55027960100,1962,1869,81,0,3,0,2,28,0.952599388,0.041284404,0,0.001529052,0,0.001019368,0.014271152
55027961400,1597,1580,0,0,0,0,10,16,0.989355041,0,0,0,0,0.006261741,0.010018785
55027961500,3701,3598,49,0,5,0,4,32,0.972169684,0.013239665,0,0.001350986,0,0.001080789,0.008646312
55039042200,2928,2888,0,26,0,0,0,100,0.986338798,0,0.008879781,0,0,0,0.034153005
55055100800,2873,2827,5,1,0,0,6,18,0.983988862,0.001740341,0.000348068,0,0,0.002088409,0.006265228
55055100900,1183,1156,0,0,0,0,0,18,0.977176669,0,0,0,0,0,0.015215554
55055101600,2544,2428,0,1,4,0,63,236,0.954402516,0,0.000393082,0.001572327,0,0.024764151,0.092767296
55055101702,4860,4721,29,6,4,0,27,172,0.971399177,0.005967078,0.001234568,0.000823045,0,0.005555556,0.035390947
55079000101,4866,1170,3137,0,56,0,430,434,0.240443896,0.644677353,0,0.011508426,0,0.08836827,0.0891903
55079000102,3667,1196,2149,16,253,0,0,202,0.326152168,0.586037633,0.00436324,0.068993728,0,0,0.055085901
55079000201,5478,1294,3010,0,199,0,797,1118,0.236217598,0.54947061,0,0.036327127,0,0.145491055,0.204089084
55079000202,6355,3042,2846,94,101,0,0,281,0.478678206,0.447836349,0.014791503,0.015892998,0,0,0.044217152
55079000301,1473,1175,223,0,63,0,0,6,0.797691785,0.151391718,0,0.042769857,0,0,0.00407332
55079000302,3140,435,2333,4,125,0,40,102,0.138535032,0.742993631,0.001273885,0.039808917,0,0.012738854,0.032484076
55079000303,1826,757,884,22,97,0,24,51,0.41456736,0.484118291,0.012048193,0.053121577,0,0.013143483,0.027929901
55079000304,3224,1348,1265,0,397,0,142,171,0.418114144,0.392369727,0,0.123138958,0,0.044044665,0.053039702
55079000400,2564,800,1545,46,64,0,65,140,0.31201248,0.602574103,0.017940718,0.024960998,0,0.025351014,0.054602184
55079000501,3696,1624,1746,0,44,8,127,167,0.439393939,0.472402597,0,0.011904762,0.002164502,0.034361472,0.045183983
55079000502,4995,803,3619,0,308,0,73,193,0.160760761,0.724524525,0,0.061661662,0,0.014614615,0.038638639
55079000600,6751,1145,3878,9,1271,0,23,101,0.169604503,0.574433417,0.001333136,0.188268405,0,0.003406903,0.014960747
55079000700,3579,1016,2125,0,303,0,47,62,0.283878178,0.593741269,0,0.08466052,0,0.01313216,0.017323275
55079000800,4610,1109,3101,17,237,0,25,172,0.240563991,0.672668113,0.003687636,0.051409978,0,0.005422993,0.037310195
55079000900,3766,612,2824,18,5,0,108,229,0.162506638,0.749867233,0.004779607,0.001327669,0,0.028677642,0.060807223
55079001000,3600,451,2975,0,118,0,12,35,0.125277778,0.826388889,0,0.032777778,0,0.003333333,0.009722222
55079001100,2410,380,1934,4,0,0,16,33,0.157676349,0.802489627,0.001659751,0,0,0.006639004,0.013692946
55079001200,3125,189,2078,0,666,0,74,108,0.06048,0.66496,0,0.21312,0,0.02368,0.03456
55079001300,4375,265,2939,18,902,0,59,201,0.060571429,0.671771429,0.004114286,0.206171429,0,0.013485714,0.045942857
55079001400,2470,307,1359,35,648,0,19,119,0.124291498,0.550202429,0.01417004,0.262348178,0,0.007692308,0.048178138
55079001500,3399,697,1800,0,876,0,0,0,0.205060312,0.52956752,0,0.25772286,0,0,0
55079001600,2900,514,2115,0,162,0,8,113,0.177241379,0.729310345,0,0.055862069,0,0.002758621,0.038965517
55079001700,4617,896,3243,36,352,0,84,138,0.19406541,0.702404159,0.007797271,0.076239983,0,0.018193632,0.029889539
55079001800,3097,698,2077,7,166,0,122,228,0.225379399,0.670649015,0.002260252,0.053600258,0,0.039392961,0.073619632
55079001900,2957,407,2381,45,10,0,0,16,0.137639499,0.805207981,0.015218126,0.003381806,0,0,0.005410889
55079002000,2432,241,2071,0,27,0,0,32,0.099095395,0.8515625,0,0.011101974,0,0,0.013157895
55079002100,2115,99,1969,0,0,0,29,33,0.046808511,0.930969267,0,0,0,0.013711584,0.015602837
55079002200,1876,818,1011,19,0,0,14,242,0.436034115,0.53891258,0.010127932,0,0,0.007462687,0.128997868
