ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55079000101,55,079,000101,WI,Milwaukee County,3.97899404818
55079000102,55,079,000102,WI,Milwaukee County,6.50834030849
55079000201,55,079,000201,WI,Milwaukee County,7.91046657546
55079000202,55,079,000202,WI,Milwaukee County,7.88228326206
55079000301,55,079,000301,WI,Milwaukee County,1.99025666185
55079000302,55,079,000302,WI,Milwaukee County,1.83543589862
55079000303,55,079,000303,WI,Milwaukee County,1.59575792408
55079000304,55,079,000304,WI,Milwaukee County,3.35855228760
55079000400,55,079,000400,WI,Milwaukee County,2.41628969958
55079000501,55,079,000501,WI,Milwaukee County,4.05015797138
55079000502,55,079,000502,WI,Milwaukee County,1.78330878876
55079000600,55,079,000600,WI,Milwaukee County,3.88512764119
55079000700,55,079,000700,WI,Milwaukee County,3.91797552168
55079000800,55,079,000800,WI,Milwaukee County,3.03694607681
55079000900,55,079,000900,WI,Milwaukee County,3.50797859960
55079001000,55,079,001000,WI,Milwaukee County,1.54136814503
55079001100,55,079,001100,WI,Milwaukee County,3.17347534320
55079001200,55,079,001200,WI,Milwaukee County,1.22555169426
55079001300,55,079,001300,WI,Milwaukee County,1.97548938454
55079001400,55,079,001400,WI,Milwaukee County,1.11124762169
55079001500,55,079,001500,WI,Milwaukee County,1.48477250229
55079001600,55,079,001600,WI,Milwaukee County,1.31814813607
55079001700,55,079,001700,WI,Milwaukee County,1.32419473436
55079001800,55,079,001800,WI,Milwaukee County,0.98510324913
55079001900,55,079,001900,WI,Milwaukee County,0.97928684540
55079002000,55,079,002000,WI,Milwaukee County,1.07853296706
55079002100,55,079,002100,WI,Milwaukee County,0.89816439719
55079002200,55,079,002200,WI,Milwaukee County,1.13824313599
55079002300,55,079,002300,WI,Milwaukee County,1.84352843649
55079002400,55,079,002400,WI,Milwaukee County,1.16027542574
55079002500,55,079,002500,WI,Milwaukee County,0.55256285693
55079002600,55,079,002600,WI,Milwaukee County,0.69883914002
55079002700,55,079,002700,WI,Milwaukee County,0.68638666676
55079002800,55,079,002800,WI,Milwaukee County,0.65739896822
55079002900,55,079,002900,WI,Milwaukee County,0.65655179244
55079003000,55,079,003000,WI,Milwaukee County,1.31237661047
55079003100,55,079,003100,WI,Milwaukee County,1.25360509307
55079003200,55,079,003200,WI,Milwaukee County,0.81309406033
55079003300,55,079,003300,WI,Milwaukee County,1.47279821695
